Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating,genre_count,modes_count,has_Action,has_Adventure,has_Shooter,has_Rpg,has_Survival,has_multiplayer,has_coop,is_first_person,is_third_person,is_isometric,is_vr,is_side_view,franchise_avg_critic,franchise_avg_user,is_first_franchise_game,studio_avg_critic,studio_avg_user,has_new_studio
Tom Clancy's Ghost Recon: Wildlands,ubisoft paris,"shooter,tactical,adventure,action,stealth","single player,multiplayer,co-operative",No,Yes,Yes,"First Person, Third Person","PC, Playstation 4, Xbox One",3,27.0,54.0,84.5,440.0,1,1,$59.99,$2.22,$1.11,$0.71,2017-03-06,6,3,2017,Ghost Recon,0.06136363636,7.45,7.1,5,3,1,1,1,0,0,1,1,1,1,0,0,0,8.799999999999999,7.5633333333333335,0,8.774999999999999,7.43,0
Mass Effect: Andromeda,biowware montréal,"shooter,rpg,adventure,action,science fiction","single player,multiplayer,co-operative",Limited,Yes,Semi,Third Person,"PC, Playstation 4, Xbox One",3,18.5,63.0,94.0,,0,0,$59.99,$3.24,$0.95,$0.64,2017-03-21,21,3,2017,Mass Effect,,7.4,6.5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,9.4,8.393333333333333,0,7.699408284023669,7.367455621301775,0
Assassin's Creed Origins,ubisoft montreal,"action,rpg,stealth,parkour","single player,multiplayer,co-operative",Limited,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,30.0,52.5,85.0,80.0,1,1,$59.99,$2.00,$1.14,$0.71,2017-10-27,27,10,2017,Assassins Creed,0.375,8.55,8.2,4,3,1,0,0,1,0,1,1,0,1,0,0,0,7.7625,7.4675,0,8.264285714285714,7.845714285714286,0
Call of Duty: WWII,sledgehammer games,"shooter,action,historical,warfare","single player,multiplayer,co-operative,splitscreen",Limited,Yes,No,First Person,"PC, Playstation 4, Xbox One",3,7.0,9.5,18.5,,0,0,$59.99,$8.57,$6.31,$3.24,2017-11-02,2,11,2017,Call of Duty,,7.95,6.63,4,4,1,0,1,0,0,1,1,1,0,0,0,0,8.757692307692308,7.5430769230769235,0,8.75,6.890000000000001,0
Kingdom Come: Deliverance,warhorse studios,"rpg,adventure,action,fantasy,historical,stealth",single player,Limited,No,Yes,First Person,"Nintendo Switch, PC, Playstation 4, Xbox One",4,42.5,80.5,136.0,16.0,1,1,$59.99,$1.41,$0.75,$0.44,2018-02-13,13,2,2018,Kingdom Come: Deliverance,2.65625,7.8,8.3,6,1,1,1,0,1,0,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Metal Gear Survive,konami,"shooter,strategy,science fiction,survival,action,adventure","single player,multiplayer,co-operative",No,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,22.5,31.5,60.0,12.0,1,1,$39.99,$1.78,$1.27,$0.67,2018-02-20,20,2,2018,Metal Gear,1.875,6.25,3.1,6,3,1,1,1,0,1,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Far Cry 5,ubisoft montreal,"action,adventure,shooter,fps","single player,multiplayer,co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 3/4, Xbox 360/One",5,18.0,31.0,47.5,60.0,1,0,$59.99,$3.33,$1.94,$1.26,2018-03-27,27,3,2018,Far Cry,0.3,8.5,7.88,4,3,1,1,1,0,0,1,1,1,0,0,0,0,8.483333333333333,7.84,0,8.3,7.890000000000001,0
God of War(2018),sie santa monica studios,"rpg,adventure,hack and slash/beat 'em up,action,historical,fantasy",single player,No,No,No,Third Person,"PC, Playstation 4",2,20.5,33.0,51.0,,0,1,$59.99,$2.93,$1.82,$1.18,2018-04-20,20,4,2018,God of War,,9.7,9.45,6,1,1,1,0,1,0,0,0,0,1,0,0,0,9.6,8.8,0,7.699408284023669,7.367455621301775,0
Conan Exiles,funcom,"fighting,rpg,simulator,strategy,adventure,action,fantasy,survival","single player,multiplayer,co-operative,massively multiplayer online(mmo)",Yes,No,Yes,"First Person, Third Person","PC, Playstation 4, Xbox One",3,42.5,116.0,138.0,64.0,1,1,$49.99,$1.18,$0.43,$0.36,2018-05-08,8,5,2018,Conan,0.6640625,6.75,6.2,8,4,1,1,0,1,1,1,1,1,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Detriot: Become Human,quantic dream,"puzzle,adventure,action,science fiction,thriller,drama,mystery",single player,No,No,No,Third Person,"PC, Playstation 4",2,12.0,16.0,32.0,,0,1,$59.99,$5.00,$3.75,$1.87,2018-05-25,25,5,2018,,,7.9,8.78,7,1,1,1,0,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.675,8.350000000000001,0
